"Autumn, when were you spawned?",uptime
"Autumn, what's your spawn date?",uptime
"Autumn, what's your birthday?",uptime
"Autumn, show me when you were spawned.",uptime
"Autumn, show me how old you are.",uptime
"Autumn, show me how long you've been alive.",uptime
"Autumn, give me your up time",uptime
"When were you made, Autumn?",uptime
"When did you spawn, Autumn?",uptime
"What time did you spawn, Autumn?",uptime
"Tell me when you spawned, Autumn",uptime
"How long have been active, Autumn?",uptime
"Autumn, when were you created?",uptime
"Autumn, when were you born?",uptime
"Autumn, I want the uptime.",uptime
"Autumn, give me the uptime.",uptime
What's the uptime?,uptime
Uptime,uptime
Time spawned,uptime
Time alive,uptime
Spawn time,uptime
Spawn,uptime
Show uptime,uptime
Show me uptime.,uptime
Please show me the uptime.,uptime
Please give me the uptime.,uptime
I'd like the uptime please.,uptime
Gimme uptime,uptime
Current uptime,uptime
Can I get the uptime?,uptime
